	      0.00		         1.0000
	      0.10		         0.8936
	      0.20		         0.7856
	      0.30		         0.6861
	      0.40		         0.5988
	      0.50		         0.5240
	      0.60		         0.4606
	      0.70		         0.4070
	      0.80		         0.3615
	      0.90		         0.3229
	      1.00		         0.2899
	      1.10		         0.2615
	      1.20		         0.2371
	      1.30		         0.2158
	      1.40		         0.1972
	      1.50		         0.1809
	      1.60		         0.1665
	      1.70		         0.1537
	      1.80		         0.1424
	      1.90		         0.1322
	      2.00		         0.1231
	      2.10		         0.1149
	      2.20		         0.1075
	      2.30		         0.1008
	      2.40		         0.0947
	      2.50		         0.0891
	      2.60		         0.0840
	      2.70		         0.0793
	      2.80		         0.0750
	      2.90		         0.0711
	      3.00		         0.0674
	      3.10		         0.0641
	      3.20		         0.0609
	      3.30		         0.0580
	      3.40		         0.0553
	      3.50		         0.0528
	      3.60		         0.0505
	      3.70		         0.0483
	      3.80		         0.0462
	      3.90		         0.0443
	      4.00		         0.0425
	      4.10		         0.0408
	      4.20		         0.0392
	      4.30		         0.0377
	      4.40		         0.0362
	      4.50		         0.0349
	      4.60		         0.0336
	      4.70		         0.0324
	      4.80		         0.0313
	      4.90		         0.0302
	      5.00		         0.0292
	      5.10		         0.0282
	      5.20		         0.0273
	      5.30		         0.0264
	      5.40		         0.0256
	      5.50		         0.0248
	      5.60		         0.0240
	      5.70		         0.0233
	      5.80		         0.0226
	      5.90		         0.0219
	      6.00		         0.0213
	      6.10		         0.0207
	      6.20		         0.0201
	      6.30		         0.0195
	      6.40		         0.0190
	      6.50		         0.0185
	      6.60		         0.0180
	      6.70		         0.0175
	      6.80		         0.0171
	      6.90		         0.0166
	      7.00		         0.0162
	      7.10		         0.0158
	      7.20		         0.0154
	      7.30		         0.0150
	      7.40		         0.0147
	      7.50		         0.0143
	      7.60		         0.0140
	      7.70		         0.0137
	      7.80		         0.0133
	      7.90		         0.0130
	      8.00		         0.0127
	      8.10		         0.0125
	      8.20		         0.0122
	      8.30		         0.0119
	      8.40		         0.0117
	      8.50		         0.0114
	      8.60		         0.0112
	      8.70		         0.0109
	      8.80		         0.0107
	      8.90		         0.0105
	      9.00		         0.0103
	      9.10		         0.0101
	      9.20		         0.0099
	      9.30		         0.0097
	      9.40		         0.0095
	      9.50		         0.0093
	      9.60		         0.0091
	      9.70		         0.0090
	      9.80		         0.0088
	      9.90		         0.0086
	     10.00		         0.0085
